관리번호,도로명주소,지번주소,위도,경도,데이터기준일자
압구정동-11,서울특별시 강남구 도산대로 301   (신사동),서울특별시 강남구 신사동 630-8 ,37.5218222,127.0339393,2025-04-30
압구정동-12,서울특별시 강남구 압구정로 407   (압구정동),서울특별시 강남구 압구정동 515 ,37.5279547,127.0410444,2025-04-30
압구정동-13, ,서울특별시 강남구 신사동 622-4 ,37.5259893,127.0331157,2025-04-30
압구정동-14,서울특별시 강남구 도산대로 203   (신사동),서울특별시 강남구 신사동 587-21 ,37.5201137,127.0283979,2025-04-30
압구정동-15, ,서울특별시 강남구 압구정동 128 ,37.5240435,127.0225654,2025-04-30
압구정동-16,서울특별시 강남구 도산대로 215   (신사동),서울특별시 강남구 신사동 587-12 ,37.5206421,127.0302132,2025-04-30
청담동-1, ,서울특별시 강남구 청담동 1 ,37.5228507,127.0394515,2025-04-30
청담동-2,서울특별시 강남구 도산대로 403   (청담동),서울특별시 강남구 청담동 86-1 ,37.5235665,127.039521,2025-04-30
청담동-3, ,서울특별시 강남구 청담동 48 ,37.5239999,127.0478017,2025-04-30
청담동-4,서울특별시 강남구 학동로 401   (청담동),서울특별시 강남구 청담동 41-2 ,37.517575,127.0414972,2025-04-30
청담동-5, ,서울특별시 강남구 청담동 40 ,37.5192776,127.0407977,2025-04-30
청담동-6,서울특별시 강남구 도산대로 419   (청담동),서울특별시 강남구 청담동 91-2 ,37.5237673,127.0416228,2025-04-30
청담동-7,서울특별시 강남구 도산대로 459   (청담동),서울특별시 강남구 청담동 98-8 ,37.5244019,127.0469101,2025-04-30
청담동-8,서울특별시 강남구 선릉로 846   (청담동),서울특별시 강남구 청담동 78 ,37.5275215,127.0407888,2025-04-30
삼성1동-1,서울특별시 강남구 봉은사로 503   (삼성동),서울특별시 강남구 삼성동 71-9 ,37.5133704,127.0535039,2025-04-30
삼성1동-2,서울특별시 강남구 테헤란로 517   (삼성동),서울특별시 강남구 삼성동 159-7 ,37.5082225,127.0594539,2025-04-30
삼성1동-4,서울특별시 강남구 봉은사로 502   (삼성동),서울특별시 강남구 삼성동 145 ,37.512926,127.0536945,2025-04-30
삼성1동-5,서울특별시 강남구 영동대로 648   (삼성동),서울특별시 강남구 삼성동 78 ,37.5200459,127.0575861,2025-04-30
삼성1동-6,서울특별시 강남구 봉은사로 543   (삼성동),서울특별시 강남구 삼성동 77-15 ,37.5142988,127.0594565,2025-04-30
삼성1동-7,서울특별시 강남구 봉은사로 531   (삼성동),서울특별시 강남구 삼성동 73-2 ,37.5139283,127.0571571,2025-04-30
삼성1동-8,서울특별시 강남구 삼성로 654   (삼성동),서울특별시 강남구 삼성동 52 ,37.5186887,127.0507115,2025-04-30
삼성1동-9,서울특별시 강남구 삼성로 550   (삼성동),서울특별시 강남구 삼성동 150-19 ,37.5107343,127.0547737,2025-04-30
삼성1동-10,서울특별시 강남구 테헤란로 501   (삼성동),서울특별시 강남구 삼성동 157-31 ,37.5071987,127.0568649,2025-04-30
삼성1동-11,서울특별시 강남구 테헤란로87길 22   (삼성동),서울특별시 강남구 삼성동 159-6 ,37.5094017,127.0588045,2025-04-30
삼성1동-12,서울특별시 강남구 봉은사로 524   (삼성동),서울특별시 강남구 삼성동 159 ,37.5136768,127.0579845,2025-04-30
삼성2동-1,서울특별시 강남구 테헤란로 447   (삼성동),서울특별시 강남구 삼성동 144-29 ,37.507039,127.056217,2025-04-30
삼성2동-2,서울특별시 강남구 봉은사로 404   (삼성동),서울특별시 강남구 삼성동 112-1 ,37.5101684,127.0441363,2025-04-30
삼성2동-3,서울특별시 강남구 선릉로 668   (삼성동),서울특별시 강남구 삼성동 8 ,37.5161662,127.0418021,2025-04-30
삼성2동-4,서울특별시 강남구 선릉로 602   (삼성동),서울특별시 강남구 삼성동 37-20 ,37.5105809,127.0439385,2025-04-30
삼성2동-5,"서울특별시 강남구 선릉로 660   (삼성동, 브라운스톤 레전드)",서울특별시 강남구 삼성동 8-2 ,37.5152948,127.0421734,2025-04-30
삼성2동-6,서울특별시 강남구 봉은사로 419   (삼성동),서울특별시 강남구 삼성동 38-34 ,37.5111042,127.0459762,2025-04-30
삼성2동-7,서울특별시 강남구 봉은사로 479   (삼성동),서울특별시 강남구 삼성동 51-2 ,37.5131135,127.0528789,2025-04-30
대치1동-1,서울특별시 강남구 삼성로 150-2    (대치동),서울특별시 강남구 대치동 508 ,37.4941793,127.0630699,2025-04-30
대치1동-2,서울특별시 강남구 남부순환로 2912   (대치동),서울특별시 강남구 대치동 500 ,37.4907994,127.0557499,2025-04-30
대치1동-3, ,서울특별시 강남구 대치동 404 ,37.4961554,127.0531767,2025-04-30
대치1동-4,서울특별시 강남구 남부순환로 2947   (대치동),서울특별시 강남구 대치동 599 ,37.4945952,127.0628897,2025-04-30
대치1동-5, ,서울특별시 강남구 대치동 670-1 ,37.4912489,127.0554901,2025-04-30
대치1동-6, ,서울특별시 강남구 대치동 500-3 ,37.492689,127.0597468,2025-04-30
대치1동-7,서울특별시 강남구 남부순환로 2917   (대치동),서울특별시 강남구 대치동 626 ,37.4929567,127.0593367,2025-04-30
대치1동-8,서울특별시 강남구 도곡로 444   (대치동),서울특별시 강남구 대치동 1021 ,37.4980795,127.059091,2025-04-30
대치1동-9,"서울특별시 강남구 삼성로 151   (대치동, 선경아파트)",서울특별시 강남구 대치동 506 ,37.4933275,127.0613721,2025-04-30
대치2동-1,"서울특별시 강남구 삼성로 212   (대치동, 은마아파트)",서울특별시 강남구 대치동 316 ,37.4948106,127.0633819,2025-04-30
대치2동-2,서울특별시 강남구 삼성로 156   (대치동),서울특별시 강남구 대치동 509 ,37.4943087,127.0636401,2025-04-30
대치2동-3,서울특별시 강남구 영동대로 202   (대치동),서울특별시 강남구 대치동 50-8 ,37.4971072,127.0704743,2025-04-30
대치2동-4,서울특별시 강남구 영동대로 217   (대치동),서울특별시 강남구 대치동 994-9 ,37.4981556,127.0684597,2025-04-30
대치2동-5,"서울특별시 강남구 삼성로 212   (대치동, 은마아파트)",서울특별시 강남구 대치동 316 ,37.4966263,127.0693025,2025-04-30
대치2동-6,서울특별시 강남구 도곡로 501   (대치동),서울특별시 강남구 대치동 988-14 ,37.499179,127.061105,2025-04-30
대치2동-7,서울특별시 강남구 영동대로 302   (대치동),서울특별시 강남구 대치동 1009-5 ,37.5013271,127.0677805,2025-04-30
대치2동-8,서울특별시 강남구 도곡로 531   (대치동),서울특별시 강남구 대치동 986-6 ,37.5001926,127.0645531,2025-04-30
대치2동-9,서울특별시 강남구 도곡로 532   (대치동),서울특별시 강남구 대치동 991-4 ,37.4998978,127.0646005,2025-04-30
대치2동-10,서울특별시 강남구 도곡로 511   (대치동),서울특별시 강남구 대치동 988-17 ,37.4995949,127.0623368,2025-04-30
대치2동-11,서울특별시 강남구 영동대로 301   (대치동),서울특별시 강남구 대치동 984-6 ,37.5010411,127.0668743,2025-04-30
대치2동-12,서울특별시 강남구 영동대로 237   (대치동),서울특별시 강남구 대치동 993-2 ,37.500657,127.0670509,2025-04-30
대치2동-13,서울특별시 강남구 남부순환로 지하3104   (대치동),서울특별시 강남구 대치동 513-4 ,37.496414,127.0704997,2025-04-30
대치2동-14,"서울특별시 강남구 삼성로 150   (대치동, 한보미도맨션)",서울특별시 강남구 대치동 511 ,37.4953117,127.0667982,2025-04-30
대치2동-15,"서울특별시 강남구 삼성로 150   (대치동, 한보미도맨션)",서울특별시 강남구 대치동 511 ,37.4953117,127.0667982,2025-04-30
대치2동-16,서울특별시 강남구 삼성로 334   (대치동),서울특별시 강남구 대치동 962-21 ,37.5015103,127.0597367,2025-04-30
대치4동-1,서울특별시 강남구 도곡로 401   (대치동),서울특별시 강남구 대치동 937 ,37.4966052,127.0530326,2025-04-30
대치4동-2,서울특별시 강남구 삼성로 301   (대치동),서울특별시 강남구 대치동 941-18 ,37.4990644,127.0605688,2025-04-30
대치4동-3,서울특별시 강남구 도곡로 405   (대치동),서울특별시 강남구 대치동 938-24 ,37.4970917,127.0547026,2025-04-30
대치4동-4,서울특별시 강남구 삼성로 401   (대치동),서울특별시 강남구 대치동 903-30 ,37.5031863,127.0583638,2025-04-30
대치4동-5,서울특별시 강남구 도곡로 441   (대치동),서울특별시 강남구 대치동 940-8 ,37.4983723,127.0586217,2025-04-30
대치4동-6,서울특별시 강남구 도곡로 443   (대치동),서울특별시 강남구 대치동 941-27 ,37.498478,127.0589247,2025-04-30
역삼1동-1,서울특별시 강남구 강남대로 368   (역삼동),서울특별시 강남구 역삼동 826-22 ,37.4956468,127.029023,2025-04-30
역삼1동-2,서울특별시 강남구 도곡로 193   (역삼동),서울특별시 강남구 역삼동 798-16 ,37.4925382,127.0405261,2025-04-30
역삼1동-3,서울특별시 강남구 강남대로 362   (역삼동),서울특별시 강남구 역삼동 826-20 ,37.4952373,127.0292127,2025-04-30
역삼1동-4,서울특별시 강남구 강남대로 334   (역삼동),서울특별시 강남구 역삼동 832 ,37.4929448,127.0303192,2025-04-30
역삼1동-5,서울특별시 강남구 강남대로 438   (역삼동),서울특별시 강남구 역삼동 814-6 ,37.5015299,127.0262292,2025-04-30
